T1PKS	Type I polyketide synthase
T2PKS	Type II polyketide synthase
T3PKS	Type III polyketide synthase
transAT-PKS	Trans-AT polyketide synthase
transAT-PKS-like	Trans-AT polyketide synthase fragment, with trans-AT domain not found
PpyS-KS	PPY-like pyrone cluster
hglE-KS	heterocyst glycolipid synthase-like polyketide synthase
CDPS	tRNA-dependent cyclodipeptide synthases
PKS-like	Other types of polyketide synthase cluster
arylpolyene	Aryl polyene cluster
resorcinol	Resorcinol cluster
ladderane	Ladderane cluster
PUFA	Polyunsaturated fatty acid cluster
nrps	Non-ribosomal peptide synthetase cluster
nrps-like	NRPS-like fragment
thioamide-NRP	Thioamide-containing non-ribosomal peptide
terpene	Terpene
lanthipeptide	Lanthipeptide cluster
lipolanthine	Lanthipeptide class containing N-terminal fatty acids
bacteriocin	Bacteriocin or other unspecified ribosomally synthesised and post-translationally modified peptide product (RiPP) cluster
betalactone	beta-lactone containing protease inhibitor
thiopeptide	Thiopeptide cluster
linaridin	Linaridin cluster
cyanobactin	Cyanobactin cluster
glycocin	Glycocin cluster
LAP	Linear azol(in)e-containing peptides
lassopeptide	Lasso peptide cluster
sactipeptide	Sactipeptide cluster
bottromycin	Bottromycin cluster
head_to_tail	Head-to-tail cyclised (subtilosin-like) cluster
microviridin	Microviridin cluster
proteusin	Proteusin cluster
blactam	β-lactam cluster
amglyccycl	Aminoglycoside/aminocyclitol cluster
aminocoumarin	Aminocoumarin cluster
siderophore	Siderophore cluster
ectoine	Ectoine cluster
butyrolactone	Butyrolactone cluster
indole	Indole cluster
nucleoside	Nucleoside cluster
phosphoglycolipid	Phosphoglycolipid cluster
melanin	Melanin cluster
oligosaccharide	Oligosaccharide cluster
furan	Furan cluster
hserlactone	Homoserine lactone cluster
phenazine	Phenazine cluster
phosphonate	Phosphonate cluster
fused	Pheganomycin-style protein ligase-containing cluster
PBDE	Polybrominated diphenyl ether cluster
acyl_amino_acids	N-acyl amino acid cluster
tropodithietic-acid	Tropodithietic acid cluster
NAGGN	N-acetylglutaminylglutamine amide
RaS-RiPP	Streptide-like thioether-bond RiPPs
fungal-RiPP	Fungal RiPP with POP or UstH peptidase types and a modification
TfuA-related	TfuA-related RiPPs
other	Cluster containing a secondary metabolite-related protein that does not fit into any other category
saccharide	Saccharide cluster (loose strictness, likely from primary metabolism)
fatty_acid	Fatty acid cluster (loose strictness, likely from primary metabolism)
halogenated	Cluster containing a halogenase and thus potentially generating a halogenated product
NRPS	Non-ribosomal peptide synthetase cluster
NRPS-like	Non-ribosomal peptide synthase fragment
